data,denominazione_regione,colore
2021-01-10,Calabria,arancione
2021-01-11,Calabria,arancione
2021-01-12,Calabria,arancione
2021-01-13,Calabria,arancione
2021-01-14,Calabria,arancione
2021-01-15,Calabria,arancione
2021-01-16,Calabria,arancione
2021-01-17,Calabria,arancione
2021-01-18,Calabria,arancione
2021-01-19,Calabria,arancione
2021-01-20,Calabria,arancione
2021-01-21,Calabria,arancione
2021-01-22,Calabria,arancione
2021-01-23,Calabria,arancione
2021-01-24,Calabria,arancione
2021-01-25,Calabria,arancione
2021-01-26,Calabria,arancione
2021-01-27,Calabria,arancione
2021-01-28,Calabria,arancione
2021-01-29,Calabria,arancione
2021-01-30,Calabria,arancione
2021-01-31,Calabria,arancione
2021-02-01,Calabria,giallo
2021-02-02,Calabria,giallo
2021-02-03,Calabria,giallo
2021-02-04,Calabria,giallo
2021-02-05,Calabria,giallo
2021-02-06,Calabria,giallo
2021-02-07,Calabria,giallo
2021-02-08,Calabria,giallo
2020-11-06,Campania,giallo
2020-11-07,Campania,giallo
2020-11-08,Campania,giallo
2020-11-09,Campania,giallo
2020-11-10,Campania,giallo
2020-11-11,Campania,giallo
2020-11-12,Campania,giallo
2020-11-13,Campania,giallo
2020-11-14,Campania,giallo
2020-11-15,Campania,rosso
2020-11-16,Campania,rosso
2020-11-17,Campania,rosso
2020-11-18,Campania,rosso
2020-11-19,Campania,rosso
2020-11-20,Campania,rosso
2020-11-21,Campania,rosso
2020-11-22,Campania,rosso
2020-11-23,Campania,rosso
2020-11-24,Campania,rosso
2020-11-25,Campania,rosso
2020-11-26,Campania,rosso
2020-11-27,Campania,rosso
2020-11-28,Campania,rosso
2020-11-29,Campania,rosso
2020-11-30,Campania,rosso
2020-12-01,Campania,rosso
2020-12-02,Campania,rosso
2020-12-03,Campania,rosso
2020-12-04,Campania,rosso
2020-12-05,Campania,rosso
2020-12-06,Campania,arancione
2020-12-07,Campania,arancione
2020-12-08,Campania,arancione
2020-12-09,Campania,arancione
2020-12-10,Campania,arancione
2020-12-11,Campania,arancione
2020-12-12,Campania,arancione
2020-12-13,Campania,arancione
2020-12-14,Campania,arancione
2020-12-15,Campania,arancione
2020-12-16,Campania,arancione
2020-12-17,Campania,arancione
2020-12-18,Campania,arancione
2020-12-19,Campania,arancione
2020-12-20,Campania,arancione
2020-12-21,Campania,arancione
2020-12-22,Campania,arancione
2020-12-23,Campania,arancione
2020-12-24,Campania,rosso
2020-12-25,Campania,rosso
2020-12-26,Campania,rosso
2020-12-27,Campania,rosso
2020-12-28,Campania,arancione
2020-12-29,Campania,arancione
2020-12-30,Campania,arancione
2020-12-31,Campania,rosso
2021-01-01,Campania,rosso
2021-01-02,Campania,rosso
2021-01-03,Campania,rosso
